frame,timestamp,latency_ms,cpu_percent,memory_mb,detections
70187,6.231597527861595,44.46101188659668,0.0,111.58203125,1
70189,6.381597530096769,11.09457015991211,0.0,111.59375,1
70190,6.431597530841827,10.547399520874023,20.4,111.6171875,1
70191,6.4815975315868855,11.55233383178711,20.2,111.62109375,1
70192,6.5315975323319435,15.080928802490234,21.2,111.62890625,1
70193,6.581597533077002,12.553691864013672,25.8,111.76171875,1
70194,6.581597533077002,9.52768325805664,21.6,111.76171875,1
70195,6.681597534567118,6.532192230224609,45.2,111.765625,1
70196,6.681597534567118,11.546611785888672,37.5,111.765625,1
70197,6.781597536057234,8.57090950012207,28.1,111.765625,1
70198,6.831597536802292,10.513067245483398,30.5,111.765625,1
70199,6.831597536802292,9.552478790283203,35.0,111.765625,1
70200,6.88159753754735,8.139848709106445,32.5,111.765625,1
70201,6.931597538292408,9.553909301757812,30.6,111.76953125,1
70202,6.981597539037466,10.548591613769531,41.0,111.76953125,1
70203,7.031597539782524,9.08970832824707,50.0,111.76953125,2
70204,7.081597540527582,10.549783706665039,61.5,111.76953125,2
70205,7.13159754127264,9.566068649291992,47.3,111.76953125,2
70206,7.181597542017698,7.549285888671875,71.4,111.76953125,2
70207,7.231597542762756,8.573532104492188,41.9,111.76953125,2
70208,7.281597543507814,8.551836013793945,53.5,111.76953125,2
70209,7.3315975442528725,9.535074234008789,32.1,111.76953125,2
70210,7.3815975449979305,8.550167083740234,13.0,111.76953125,2
70211,7.431597545742989,9.082794189453125,42.8,111.76953125,2
70212,7.481597546488047,8.54945182800293,35.7,111.76953125,2
70213,7.531597547233105,9.545564651489258,65.2,111.76953125,2
70214,7.581597547978163,10.546207427978516,48.6,111.76953125,2
70215,7.631597548723221,9.551763534545898,29.3,111.828125,2
70216,7.681597549468279,10.065317153930664,40.7,111.828125,2
70217,7.731597550213337,7.559061050415039,21.6,111.84765625,2
70218,7.781597550958395,9.544134140014648,33.3,111.84765625,2
70219,7.831597551703453,9.550809860229492,29.0,111.84765625,2
70220,7.881597552448511,8.544206619262695,37.8,111.84765625,2
70221,7.931597553193569,9.54294204711914,0.0,111.85546875,2
70222,7.981597553938627,8.521556854248047,9.6,111.87109375,2
70223,8.031597554683685,10.083913803100586,23.6,111.87109375,2
70224,8.081597555428743,9.551048278808594,38.8,111.875,2
70225,8.131597556173801,8.532285690307617,25.8,111.875,2
70226,8.18159755691886,9.55343246459961,25.6,111.875,2
70227,8.231597557663918,8.01849365234375,15.8,111.875,1
70228,8.281597558408976,9.552001953125,20.3,111.875,2
70229,8.331597559154034,10.551214218139648,33.8,111.875,2
70230,8.381597559899092,9.084939956665039,16.7,111.875,2
70231,8.43159756064415,10.546445846557617,44.4,111.875,2
70232,8.481597561389208,9.550094604492188,30.8,111.875,1
70233,8.531597562134266,7.998228073120117,27.8,111.87890625,2
70234,8.581597562879324,10.018110275268555,40.6,111.87890625,2
70235,8.631597563624382,9.04393196105957,39.0,111.9296875,1
70236,8.68159756436944,11.1083984375,27.5,111.9296875,2
70237,8.731597565114498,10.130167007446289,38.6,111.9296875,2
70238,8.781597565859556,9.372472763061523,28.9,111.9296875,1
70239,8.831597566604614,10.565042495727539,38.3,111.9296875,1
70240,8.881597567349672,10.556459426879883,82.6,111.9296875,1
70241,8.93159756809473,10.52713394165039,43.3,111.9296875,1
70242,8.981597568839788,9.548664093017578,43.1,111.9296875,1
70243,9.031597569584846,8.574485778808594,39.3,111.9296875,1
70244,9.081597570329905,11.571168899536133,41.4,111.9296875,1
70245,9.131597571074963,9.558916091918945,37.0,111.9296875,1
70246,9.18159757182002,9.524106979370117,31.2,111.9296875,1
70247,9.231597572565079,8.53109359741211,36.8,111.9296875,1
70248,9.281597573310137,10.041952133178711,38.6,111.9296875,1
70249,9.331597574055195,8.001327514648438,50.0,111.9296875,1
70250,9.381597574800253,7.551908493041992,44.8,111.9296875,1
70251,9.431597575545311,10.087251663208008,45.8,111.9296875,1
70252,9.481597576290369,9.560823440551758,12.7,111.9296875,1
70253,9.531597577035427,10.541915893554688,19.2,111.9296875,1
70254,9.581597577780485,10.566234588623047,28.9,111.9296875,1
70255,9.631597578525543,9.545564651489258,25.5,111.9296875,1
70256,9.681597579270601,9.523630142211914,33.3,111.9296875,1
70257,9.73159758001566,8.522987365722656,30.8,111.9296875,1
70258,9.781597580760717,9.203910827636719,46.4,111.9296875,1
70259,9.831597581505775,9.54747200012207,41.5,111.9296875,1
70260,9.881597582250834,8.571147918701172,20.7,111.9296875,1
70261,9.931597582995892,9.055614471435547,23.3,111.9296875,1
70262,9.98159758374095,10.562419891357422,24.0,111.9296875,1
70263,10.031597584486008,9.511709213256836,24.6,111.9296875,1
70264,10.081597585231066,10.625839233398438,29.0,111.9296875,1
70265,10.131597585976124,9.73653793334961,29.0,111.9296875,1
70266,10.181597586721182,11.199474334716797,37.8,111.9296875,1
70267,10.23159758746624,6.12187385559082,30.6,111.9296875,1
70268,10.281597588211298,8.736610412597656,36.4,111.93359375,1
70269,10.331597588956356,8.7432861328125,20.0,111.93359375,1
70270,10.381597589701414,9.699583053588867,25.0,111.93359375,1
70271,10.431597590446472,7.696390151977539,33.3,111.93359375,1
70272,10.48159759119153,6.000995635986328,27.6,111.93359375,1
70273,10.531597591936588,5.6362152099609375,26.3,111.93359375,1
70274,10.581597592681646,6.572484970092773,30.4,111.93359375,1
70275,10.631597593426704,7.134437561035156,27.0,111.953125,1
70276,10.681597594171762,7.63249397277832,25.0,111.953125,1
70277,10.73159759491682,8.723735809326172,30.6,111.95703125,1
70278,10.781597595661879,7.724761962890625,31.5,111.95703125,1
70279,10.831597596406937,8.292198181152344,41.3,111.95703125,1
70280,10.881597597151995,8.785009384155273,57.1,111.95703125,1
70281,10.931597597897053,8.631706237792969,31.2,111.95703125,1
70282,10.98159759864211,8.620262145996094,16.7,111.95703125,1
70283,11.031597599387169,8.736371994018555,0.0,111.97265625,1
70284,11.081597600132227,8.64863395690918,22.7,111.97265625,1
70285,11.131597600877285,6.615161895751953,39.5,111.97265625,1
70286,11.181597601622343,7.017374038696289,31.7,111.97265625,1
70287,11.231597602367401,7.144451141357422,26.7,111.97265625,1
70288,11.28159760311246,7.773399353027344,23.1,111.97265625,1
70289,11.331597603857517,8.67915153503418,32.4,111.97265625,1
70290,11.381597604602575,8.610248565673828,68.3,111.97265625,1
70291,11.431597605347633,8.987903594970703,74.5,111.984375,1
70292,11.481597606092691,7.622718811035156,52.6,111.98828125,1
70293,11.53159760683775,7.721424102783203,13.1,111.98828125,1
70294,11.581597607582808,8.571624755859375,31.0,111.98828125,1
70295,11.631597608327866,9.74583625793457,36.1,111.98828125,1
70296,11.681597609072924,8.623361587524414,41.5,111.98828125,1
70297,11.731597609817982,7.063627243041992,35.1,111.98828125,1
70298,11.78159761056304,9.732484817504883,45.5,111.98828125,1
70299,11.831597611308098,11.735200881958008,18.6,111.98828125,1
70300,11.881597612053156,11.731624603271484,19.7,111.98828125,1
70301,11.931597612798214,10.752677917480469,22.5,111.98828125,1
70302,11.981597613543272,8.96143913269043,23.5,111.9921875,1
70303,12.081597615033388,11.36159896850586,19.2,112.015625,1
70304,12.131597615778446,11.734724044799805,29.0,112.015625,1
70305,12.131597615778446,9.737730026245117,22.2,112.015625,1
70306,12.181597616523504,12.325525283813477,34.1,112.015625,1
70307,12.231597617268562,8.633852005004883,12.9,112.015625,1
70308,12.28159761801362,9.680032730102539,29.0,112.01953125,1
70309,12.331597618758678,10.73455810546875,37.8,112.01953125,1
70310,12.381597619503736,6.936788558959961,40.3,112.01953125,1
70311,12.431597620248795,7.736921310424805,31.4,112.02734375,1
70312,12.481597620993853,7.649421691894531,25.4,112.02734375,1
70313,12.53159762173891,4.979372024536133,22.4,112.02734375,1
70314,12.581597622483969,6.500482559204102,24.0,112.02734375,1
